#HIP,PMRA,PMDE
4282,-12.38,-61.49
4283,62.0,-10.71
4285,11.66,-7.05
4284,-6.68,0.72
4286,-1.29,-19.6
4287,0.33,-4.34
4288,137.06,-45.58
4289,-17.57,-19.38
4290,-184.14,-179.7
4291,125.74,114.51
4292,-32.24,-40.69
4293,7.92,-43.35
4294,39.04,-18.32
4295,8.58,-4.85
4296,39.66,-16.46
4297,-4.17,-50.65
4298,-23.51,-11.56
4300,7.79,-7.39
4299,23.46,-1.07
4301,-13.89,47.25
4302,82.98,-67.03
4303,41.07,-24.66
4304,8.79,7.52
4306,33.6,-23.08
4305,-2.66,-4.0
4307,21.19,-5.73
4308,179.79,-72.8
4309,-15.45,-23.21
4310,-130.36,-196.7
4311,-80.48,-177.97
4312,-228.8,-127.3
4313,28.23,15.9
4314,40.56,-9.36
4315,6.89,-2.85
4316,-15.35,-9.15
4317,23.51,-14.06
4318,-14.34,-8.46
4319,69.21,8.8
4320,-2.61,-17.41
4321,-3.41,-2.09
4322,24.1,-0.18
4323,37.94,5.64
4324,18.83,-4.21
4325,-9.4,-16.75
4326,56.02,-13.47
4327,26.77,3.48
4328,336.08,348.96
4329,41.18,-49.09
4330,20.46,2.76
4331,-13.34,-13.24
4332,114.08,-120.69
4333,97.6,19.25
4334,13.87,1.28
4335,27.01,-10.27
4336,-8.18,-48.56
4337,-1.71,3.07
4338,16.46,-1.63
4339,40.12,-34.39
4340,8.19,-3.93
4341,15.72,2.39
4342,14.56,-17.41
4343,25.03,-55.08
4344,-1.55,4.09
4345,8.1,-0.66
4346,-6.99,-44.82
4347,-14.6,-35.52
4348,4.6,-5.23
4349,-0.77,-3.58
4350,7.56,-23.87
4351,10.54,-8.54
4352,4.7,-13.26
4353,394.49,174.42
4354,-3.79,-1.98
4355,-0.54,-18.71
4356,0.99,-48.18
4357,-8.43,-21.77
4358,10.32,-4.3
4359,15.28,-35.09
4360,17.39,-51.93
4361,11.68,-1.92
4362,-6.48,-4.83
4363,10.75,-5.1
4364,4.63,-9.28
4365,-37.55,4.37
4366,-19.87,11.09
4367,7.16,-5.52
4368,10.24,-3.44
4369,-39.08,-71.18
4370,14.31,-26.17
4371,-26.79,-8.01
4372,35.47,-38.54
4373,58.47,4.99
4374,27.37,-4.63
4375,-16.66,-2.19
4376,-42.24,21.49
4377,-7.34,0.34
4378,7.71,10.51
4379,57.56,24.21
4380,0.96,-27.81
4381,40.25,-30.39
4382,-1.91,-2.86
4383,41.83,-15.91
4384,5.09,-0.27
4385,156.88,-81.42
4386,-4.21,-3.26
4387,44.57,-36.22
4388,0.21,7.77
4390,27.81,-7.73
4389,7.55,-1.35
4391,2.66,-18.5
4392,38.27,-9.54
4393,202.53,1.74
4394,257.74,-223.46
4395,316.15,165.78
4396,6.54,3.94
4397,-12.95,-2.2
4398,41.19,19.47
4399,36.1,-8.72
4400,39.38,1.43
4401,-21.24,-15.58
4402,-10.18,0.13
4403,99.49,13.75
4404,-4.17,-16.48
4405,-6.63,4.89
4406,-4.87,-0.9
4407,-5.19,-4.64
4408,87.64,8.94
4409,3.54,-2.24
4410,32.71,7.87
4411,-6.36,-9.7
4412,29.16,-8.58
4413,-1.5,-24.83
4414,14.97,25.86
4415,18.35,11.63
4416,0.1,-5.34
4417,-107.76,-116.95
4418,183.43,-58.77
4419,-2.4,1.2
4420,25.46,89.22
4421,-1.98,-2.38
4422,-92.56,-45.33
4423,96.71,-38.1
4424,-6.39,-8.56
4425,-50.71,-62.95
4426,-58.72,-32.4
4427,25.65,-3.82
4428,32.65,0.16
4429,-0.28,-6.5
4430,5.81,4.15
4431,-8.42,-7.63
4432,20.31,-17.51
4433,55.91,2.9
4434,25.62,-14.68
4435,-7.7,-19.54
4436,152.78,36.82
4437,19.65,-7.1
4438,27.67,28.79
4439,-20.45,-39.89
4440,27.37,-4.77
4441,9.08,4.01
4442,39.54,1.06
4443,-201.75,-239.76
4444,15.92,3.8
4445,5.23,9.33
4446,97.59,-35.05
4447,-14.07,-14.51
4448,97.9,11.31
4449,-0.59,-1.94
4450,26.21,-0.27
4451,-1.85,0.65
4452,10.53,-2.28
4453,1.34,9.5
4454,715.26,-234.39
4455,0.0,4.36
4456,-3.36,-3.43
4457,-52.53,26.53
4458,25.54,-5.48
4459,83.16,57.38
4460,23.09,14.92
4461,13.09,-9.82
4462,-59.29,-33.2
4463,-43.72,-46.06
4464,-4.65,-9.1
4465,15.23,-6.1
4466,37.37,-15.56
4467,20.96,-3.96
4468,103.39,-140.06
4469,-11.38,1.32
4470,-13.54,-8.18
4472,17.17,-25.98
4471,176.86,17.1
4473,1028.33,127.79
4474,-34.13,-4.69
4475,60.0,-15.52
4476,21.26,-4.19
4477,-3.79,-3.23
4478,-249.29,-182.75
4479,-38.63,13.87
4480,14.17,-13.33
4481,39.14,7.11
4483,86.27,-34.06
4482,187.1,-37.23
4484,-2.2,9.26
4485,-1.12,-11.51
4486,114.77,-27.17
4487,13.83,-15.83
4488,12.16,3.12
7553,7.59,-25.48
4489,19.15,8.7
4490,4.64,-22.68
4491,12.17,-8.5
4492,24.46,23.08
4493,-42.59,-65.76
4494,-8.41,-4.08
4495,123.88,-24.78
4496,14.33,4.99
4497,23.13,13.83
4498,0.85,-16.53
4499,63.58,1.44
4501,11.25,-6.63
4500,9.59,11.36
4502,-14.97,-11.7
4503,4.36,-35.97
4504,63.56,7.3
4506,-32.88,-25.84
4505,30.04,7.56
4507,2.81,-8.19
4508,-39.63,-27.29
4509,40.69,26.47
4510,5.28,-7.77
4511,22.02,-4.15
4512,-11.62,-10.21
4513,19.87,12.3
4514,24.62,11.3
4515,-20.2,-58.76
4516,-5.11,-1.22
4517,41.01,-65.25
4518,4.49,-3.58
4519,-18.37,-20.24
4520,-5.97,-5.76
4521,111.84,43.6
4522,31.88,-1.97
4523,21.66,-7.16
4524,-26.55,-54.24
4525,-22.14,-38.22
4526,71.24,13.56
4527,-9.32,4.11
4528,75.13,-17.91
4529,37.04,-13.83
4530,-6.26,-19.2
4531,202.41,-112.19
4532,-0.44,-1.82
4534,8.0,-5.08
4533,-23.37,-21.16
4535,11.46,-14.96
4536,80.27,41.36
4537,15.07,0.97
4538,-3.14,-1.62
4539,-60.59,-29.01
4541,4.62,-20.25
4540,29.43,7.12
4542,-1.73,-28.9
4543,43.48,16.75
4545,-4.61,6.69
4544,200.67,-97.08
4546,-6.61,-21.82
4548,-0.79,15.23
4547,27.78,1.28
4549,22.95,9.36
4550,9.47,-3.59
4551,-11.14,-3.97
4552,35.25,-71.86
4553,-5.7,-2.59
4555,-17.82,-24.95
4554,1.41,-13.71
4556,19.22,-11.43
4557,23.42,-8.95
4558,-9.65,-3.49
4559,30.87,-6.44
4560,-0.65,-7.33
4561,-21.64,-15.59
4562,-0.51,-7.93
4563,42.11,23.33
4564,-23.58,-80.07
4565,103.69,-73.18
4566,-89.94,-28.29
4567,-2.05,-1.53
4568,106.9,2.14
4569,1293.37,-298.93
4570,-18.51,-57.03
4571,-17.37,-4.92
4572,43.44,-13.19
4573,8.97,0.2
4574,14.45,-23.26
4575,-29.5,-2.08
4576,13.64,5.55
4577,22.44,6.3
4578,13.78,-5.81
4579,43.94,-5.06
4580,22.32,-12.43
4581,-8.97,-5.62
4582,44.93,2.31
4583,-1.43,-6.58
4584,1.05,-8.2
4586,35.21,-17.25
4585,67.31,24.26
4587,-33.16,-15.02
4588,22.04,5.43
4589,7.67,-40.35
4591,-1.68,-1.08
4590,17.71,14.29
4592,3.32,-81.41
4593,91.31,7.3
