hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
1271,3.98448594,-20.41616797,1.63,1.45,18.54,8.94,1.098,9.88,11.233,9.977
1272,3.98870839,4.25114921,7.32,0.94,21.44,-13.6,0.046,7.13,7.177,7.132
1273,3.9938152,38.75896447,3.09,0.95,17.96,-2.24,0.941,8.05,9.254,8.165
1274,3.99933459,-9.47948877,13.96,1.25,33.8,-30.94,0.568,8.57,9.226,8.616
1275,4.00005536,-22.42144969,19.25,1.67,220.9,-60.12,0.74,9.76,10.751,9.867
1278,4.0082196,-67.89937847,2.19,1.41,-15.33,-13.62,0.1,8.43,8.696,8.496
1277,4.0083739,14.70735446,5.07,1.11,68.97,-16.45,1.32,8.39,10.119,8.558
1276,4.00847381,-48.26027238,41.32,3.89,-46.25,-238.51,1.647,11.58,,
1279,4.01066071,-42.67102048,1.15,0.97,13.76,-8.8,1.599,8.07,10.181,8.255
1280,4.01101903,-43.11896183,2.87,1.63,3.16,10.65,0.47,10.42,10.911,10.491
1281,4.01317121,-71.25139922,5.18,1.48,52.63,-14.5,0.537,9.22,9.894,9.324
1282,4.01381667,-25.6571507,2.07,1.83,48.15,-8.01,0.564,10.37,10.953,10.41
1283,4.0154127,-58.77389592,3.36,0.87,-6.68,-0.87,1.289,8.24,9.915,8.381
1285,4.01951474,-14.05359154,4.43,1.33,-3.04,-2.64,1.015,9.01,10.29,9.106
1284,4.02181573,88.40120934,3.18,0.79,5.3,-6.55,0.23,9.12,9.391,9.15
1286,4.02245158,8.1156038,7.44,0.97,49.55,-25.91,0.323,7.59,7.972,7.631
1287,4.03380201,-37.56153886,0.02,1.35,15.14,4.96,1.267,9.11,10.749,9.242
1288,4.0366068,-31.44632821,7.64,0.83,117.87,-27.11,1.35,5.66,7.42,5.805
1289,4.03929629,47.8928703,-0.46,1.11,-3.18,-11.7,1.601,8.83,10.961,9.074
1290,4.04350921,-27.77814247,13.79,1.38,-189.96,-72.62,0.655,9.35,10.18,9.401
1291,4.04539817,55.86805083,5.96,1.11,-8.37,-11.06,0.42,9.02,9.505,9.066
1293,4.0454296,-63.16203624,1.94,0.91,16.13,-2.12,1.618,8.54,10.657,8.706
1292,4.04683817,-79.85104079,56.76,0.53,433.87,-57.95,0.749,6.59,7.53,6.672
1294,4.04772248,30.53248386,23.91,1.17,192.81,38.43,0.965,8.79,10.076,8.946
1296,4.05785281,76.95076267,5.28,0.96,19.77,-3.13,-0.044,6.35,6.304,6.382
1295,4.05910638,19.86228962,49.91,21.56,721.27,-753.06,1.485,11.79,,
1297,4.06050132,35.17799696,14.92,0.97,157.65,132.48,0.718,8.92,9.801,9.009
1298,4.06893587,-22.57793652,0.86,1.58,14.05,-24.04,0.71,9.58,10.378,9.65
1299,4.08276576,-33.46932824,9.32,6.16,48.1,-44.25,0.785,9.53,10.554,9.597
1301,4.08605605,16.64653473,8.67,1.46,347.29,-68.94,0.569,9.74,10.445,9.854
