hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
1,9.1185E-4,1.08901332,3.54,1.39,-5.2,-1.88,0.482,9.1,9.643,9.13
2,0.00379737,-19.49883745,21.9,3.1,181.21,-0.93,0.999,9.27,10.519,9.378
3,0.00500795,38.85928608,2.81,0.63,5.24,-2.91,-0.019,6.61,6.576,6.621
4,0.0083817,-51.89354612,7.75,0.97,62.85,0.16,0.37,8.06,8.471,8.092
5,0.00996534,-40.5912244,2.87,1.11,2.53,9.07,0.902,8.55,9.693,8.656
6,0.01814144,3.94648893,18.8,4.99,226.29,-12.84,1.336,12.31,,
7,0.02254891,20.03660216,17.74,1.3,-208.12,-200.79,0.74,9.64,10.542,9.679
8,0.0272916,25.88647445,5.17,1.95,19.09,-5.66,1.102,9.05,10.433,9.151
9,0.03534189,36.58593777,4.81,0.99,-6.3,8.42,1.067,8.59,9.962,8.711
10,0.03625309,-50.8670736,10.76,1.1,42.23,40.02,0.489,8.59,9.14,8.63
11,0.03729695,46.94000154,4.29,0.84,11.09,-2.02,0.081,7.34,7.446,7.364
12,0.04091756,-35.96022482,4.06,1.16,-5.99,-0.1,1.484,8.43,10.369,8.588
13,0.0416797,-22.5946806,3.49,1.48,8.45,-10.07,1.128,8.8,10.216,8.887
14,0.04827189,-0.36042119,5.11,0.99,61.75,-11.67,1.2,7.25,8.812,7.396
15,0.0503089,50.79117384,2.45,1.16,13.88,5.47,1.166,8.6,10.117,8.739
17,0.05109957,-40.19232842,6.15,1.0,-34.46,-26.37,0.425,8.15,8.642,8.187
16,0.05140852,-54.91412819,0.53,2.63,257.39,-96.63,0.421,11.71,,
18,0.05313923,-4.05373813,19.93,2.36,-127.22,23.78,1.567,11.03,,
19,0.05331696,38.30408636,4.12,0.64,-2.5,-15.07,0.955,6.53,7.739,6.63
20,0.0629505,23.52928397,10.76,1.06,36.0,-22.98,0.516,8.51,9.074,8.549
21,0.06623569,8.00723437,5.84,0.95,61.89,-0.22,1.438,7.55,9.413,7.689
22,0.07013593,-49.35226686,4.47,1.15,-7.9,0.46,0.962,8.69,9.919,8.803
23,0.0744293,13.31221083,12.21,0.95,54.15,9.65,0.456,7.57,8.044,7.606
24,0.07604979,-23.45274913,9.73,1.21,127.15,22.22,0.528,9.05,9.662,9.103
25,0.07936537,-44.29029741,13.74,0.98,58.36,-108.64,0.763,6.28,7.238,6.375
26,0.08434579,-13.39329686,9.19,1.34,-103.33,-33.35,0.535,9.13,9.747,9.179
27,0.08546976,-41.29753696,9.66,1.38,135.96,-113.67,0.671,9.32,10.14,9.389
28,0.08724871,-43.36179962,5.64,1.05,-10.96,-8.69,0.468,8.83,9.376,8.892
29,0.09213106,-49.10795505,2.85,1.4,26.86,4.05,1.041,9.14,10.502,9.284
30,0.09613563,42.14149882,3.79,0.88,-8.44,-10.14,0.142,8.26,8.414,8.266
31,0.0980939,2.67547768,1.84,1.05,-4.88,-0.2,1.453,7.63,9.534,7.791
32,0.09858375,51.9394905,3.1,1.29,-0.39,-1.38,0.04,9.09,9.108,9.07
33,0.09918083,-10.46245445,8.94,1.09,-3.62,28.71,0.466,8.1,8.616,8.152
34,0.09946973,26.91823821,12.71,0.74,42.2,-53.47,0.514,6.43,7.04,6.491
35,0.10256052,-14.49048072,5.96,1.45,162.25,-1.47,0.916,9.07,10.214,9.181
36,0.1032755,12.26709303,6.3,0.96,49.71,14.27,1.15,7.68,9.159,7.801
37,0.1053519,-47.17958382,3.74,2.72,-6.92,7.03,0.391,10.44,10.857,10.457
38,0.11104694,-79.06183133,23.84,0.78,162.3,-62.4,0.778,8.65,9.614,8.723
39,0.11186148,-16.6969302,10.98,1.18,169.72,-32.54,0.475,7.46,7.986,7.493
41,0.11656351,54.30223774,3.42,1.04,1.78,-0.47,0.026,8.7,8.699,8.676
40,0.12196971,67.21679125,-3.4,4.25,-2.99,-3.18,0.57,10.61,,
42,0.12538666,25.84478059,6.38,0.91,20.7,-6.51,0.387,8.2,8.656,8.238
43,0.129089,59.55973786,7.63,0.6,-80.6,-24.07,1.032,6.18,7.497,6.29
44,0.1327223,-3.30636174,2.41,1.01,11.1,16.04,1.104,7.91,9.347,8.048
45,0.13420453,-72.20271031,15.1,1.92,-37.2,-2.78,,9.59,10.618,9.808
46,0.13454429,-25.62225277,1.19,1.2,15.17,-13.39,1.035,8.57,9.9,8.69
464,1.38388036,-31.96763926,0.75,22.3,-21.68,-81.45,0.501,12.04,,
47,0.13519236,-56.83524773,24.45,1.97,-44.21,-145.9,1.15,10.78,12.125,10.909
48,0.13522264,-40.69044664,1.86,0.87,4.08,-11.28,1.164,7.31,8.813,7.438
49,0.13950066,16.66903183,1.59,1.28,26.66,6.95,0.45,9.53,10.053,9.575
50,0.14287059,-53.09766277,16.89,0.8,52.98,-20.52,0.616,6.49,7.256,6.579
51,0.14339044,1.06619726,0.41,1.3,10.19,6.33,0.906,8.94,10.082,9.039
52,0.14665879,-77.0201405,3.95,0.77,21.46,9.91,0.196,8.56,8.807,8.595
53,0.14739023,-29.26338247,-1.76,2.45,11.94,-12.96,,10.96,,
54,0.15165558,17.96895579,20.97,1.71,367.14,-19.49,1.03,10.57,11.685,10.679
55,0.15783323,-66.68310336,14.66,0.98,162.88,-28.82,0.551,7.4,7.946,7.381
56,0.16283175,0.22293899,3.47,1.27,39.02,-3.09,1.329,8.12,9.861,8.276
57,0.16828557,-69.67580068,33.89,0.79,-40.97,-67.59,0.863,8.27,9.353,8.353
58,0.17376341,62.17600484,26.06,0.67,-46.95,-43.9,0.52,7.05,7.665,7.11
59,0.17444749,55.72246267,-0.06,1.38,-0.27,-1.02,0.091,9.09,9.218,9.125
60,0.17542318,-64.46582516,6.18,0.83,1.75,10.74,0.386,8.34,8.789,8.381
61,0.17615726,53.82218625,5.6,1.11,32.68,-16.7,1.081,8.86,10.275,9.006
62,0.17996123,-45.42272731,5.28,1.15,4.02,-4.78,0.994,8.27,9.545,8.387
63,0.1817495,45.25333305,4.81,0.71,17.38,0.22,-0.047,6.36,6.291,6.348
64,0.18458893,-27.90754614,3.45,0.94,-5.93,-14.59,1.156,8.08,9.567,8.202
65,0.18797532,-54.83034057,16.98,2.43,-205.14,-75.34,1.147,11.0,12.193,10.953
66,0.18854917,-72.31824913,8.18,0.88,-15.61,11.88,0.401,8.55,9.004,8.587
67,0.19910132,23.53824873,7.48,0.93,91.05,-12.35,0.495,7.83,8.353,7.875
68,0.20063628,16.98896499,31.8,1.17,-99.69,-315.9,0.94,8.79,10.017,8.903
69,0.20137175,30.39589283,6.35,1.12,16.48,-1.3,0.135,8.33,8.475,8.335
70,0.20280014,36.77763945,5.25,13.87,-46.78,-0.88,0.706,10.42,11.153,10.377
71,0.20709981,36.78015328,9.13,1.84,-24.5,-19.47,0.846,8.26,9.319,8.357
72,0.21946989,-12.82867015,10.63,1.25,185.34,-119.65,0.671,8.97,9.766,9.057
73,0.22045719,66.84796687,3.97,0.69,-20.78,18.19,1.446,6.9,8.787,7.054
74,0.22187281,35.75272213,24.22,1.36,157.73,-40.31,1.068,9.93,11.364,10.112
75,0.22316216,-50.446465,1.6,0.79,29.01,2.56,1.524,7.42,9.441,7.588
76,0.22821959,32.82567452,2.29,1.19,-1.98,-8.45,1.67,9.03,11.229,9.258
77,0.23052169,-30.06417333,3.53,1.12,18.83,2.83,0.022,8.41,8.44,8.411
78,0.23231307,17.86784193,1.17,0.96,-0.51,3.68,1.203,8.06,9.625,8.2
79,0.23572286,35.31675386,4.57,0.99,16.45,-13.81,0.529,8.69,9.3,8.735
80,0.24179216,-11.82353722,15.59,1.43,419.04,-82.83,0.566,8.4,9.086,8.472
81,0.24386443,-4.93211471,23.43,1.28,-184.7,-172.67,0.642,8.57,9.377,8.656
82,0.24803173,-10.9358054,1.82,1.37,-6.01,-65.06,1.107,9.5,10.822,9.582
83,0.248081,52.08056444,2.28,1.3,-2.1,-0.99,1.726,8.85,11.067,9.028
84,0.25180722,27.88634368,18.9,1.33,225.55,-5.46,0.852,9.61,10.686,9.7
85,0.2560073,-24.71404902,3.9,2.06,48.48,0.49,0.359,10.62,11.012,10.593
86,0.26038262,69.6034983,3.47,0.78,11.53,2.67,0.018,8.05,8.067,8.053
87,0.26151556,-5.83497569,4.52,1.08,-7.83,-10.91,0.43,7.8,8.301,7.843
88,0.26915958,-48.80985919,5.97,0.7,-17.92,-6.75,0.911,5.71,6.863,5.807
89,0.27715178,53.16694253,2.6,0.96,0.68,0.03,1.566,7.87,9.943,8.058
90,0.27999988,-41.88742972,9.35,0.92,25.1,-46.98,0.5,7.64,8.206,7.697
91,0.28056847,-5.87433293,4.21,1.23,-15.41,-6.09,1.3,7.66,9.353,7.804
92,0.29062512,-20.70558648,4.77,1.44,27.51,15.15,0.944,8.68,9.866,8.774
2546,8.0947202,26.02943021,-4.26,4.43,-6.05,-1.29,1.5,9.85,,
93,0.29222255,-0.07592034,16.74,1.28,54.94,-73.28,0.619,8.12,8.855,8.202
94,0.29485302,-32.75680569,10.48,1.48,50.32,-12.69,0.644,10.1,10.798,10.099
95,0.30203883,-11.96400015,7.85,1.17,-9.94,-13.75,0.513,8.67,9.263,8.724
96,0.30489357,13.97474826,19.83,5.16,20.59,139.82,1.36,10.46,11.875,10.693
98,0.30717811,-52.79857954,6.49,1.44,-2.09,1.7,0.551,9.87,10.503,9.914
97,0.30733362,-21.40404527,5.52,1.74,18.34,1.21,0.53,9.48,10.082,9.521
99,0.3160162,60.35529798,1.27,0.7,9.57,-6.49,2.835,7.04,11.006,7.383
100,0.31645128,19.74131648,4.49,1.08,-29.13,-30.14,0.898,8.44,9.525,8.54
101,0.3197615,-47.79382994,7.35,1.74,-14.29,-0.62,0.509,9.88,10.434,9.891
102,0.320432,-41.4873557,3.0,0.82,17.13,-33.61,1.55,7.05,9.095,7.232
103,0.32214393,-68.37102958,9.15,0.76,-10.45,-40.28,0.538,8.29,8.919,8.347
104,0.32673657,-31.89961642,8.16,1.21,-39.21,-0.87,0.543,9.34,9.982,9.404
105,0.32784438,70.9289578,4.44,0.75,-4.9,-8.21,0.455,7.73,8.237,7.774
106,0.33016464,49.98158501,4.5,0.73,13.29,-11.19,0.97,6.22,7.453,6.326
107,0.33380226,-50.33739907,5.84,0.61,7.34,10.59,1.615,5.53,7.626,5.722
108,0.33655323,-70.12530771,0.3,0.86,12.75,14.74,1.315,8.53,10.231,8.664
109,0.34660201,6.79149102,5.33,0.94,-3.08,-8.7,0.388,7.23,7.664,7.252
110,0.34870816,39.61081788,20.42,1.91,-29.92,-41.34,0.787,8.61,9.831,8.887
111,0.34908697,34.28185977,27.11,2.33,258.31,-4.75,1.308,11.28,,
112,0.35691658,-16.94782618,31.35,4.17,299.01,-255.05,1.384,10.76,,
113,0.36562073,49.01041081,0.27,1.09,-0.29,-1.97,0.021,8.93,8.955,8.937
114,0.37167609,30.73587929,9.93,1.95,-10.28,-38.64,0.654,7.95,8.83,8.091
115,0.37259669,-62.9231576,4.73,0.67,-2.22,11.18,0.16,7.46,7.638,7.471
116,0.37539303,-33.79270439,8.29,0.97,-23.88,-27.41,0.435,8.6,9.086,8.639
117,0.3804081,-72.60590348,0.36,0.87,18.26,1.7,1.093,8.55,9.961,8.677
118,0.38648579,-9.43003605,12.08,1.33,44.38,1.14,0.606,9.2,9.927,9.274
119,0.39020229,44.67544581,7.49,0.83,-10.61,-18.37,1.071,6.82,8.186,6.929
120,0.39598898,-45.34468907,2.83,1.09,-19.71,-28.68,1.183,8.29,9.842,8.443
121,0.39647681,28.42377416,3.66,0.83,-18.88,-34.1,1.197,6.83,8.374,6.967
122,0.39937928,-77.06529438,14.77,0.47,-56.52,-176.95,1.254,4.78,6.43,4.928
123,0.4002411,72.23660619,5.07,0.7,-44.73,3.74,1.169,7.21,8.722,7.341
124,0.40424537,61.22280406,0.86,0.56,-2.8,-1.34,0.407,5.58,6.049,5.618
125,0.40473165,-39.33667992,5.08,1.06,-19.57,-28.13,0.366,8.7,9.127,8.752
126,0.40873313,14.63230674,2.94,0.95,37.26,7.11,0.969,8.06,9.29,8.165
127,0.41208753,-48.93516169,11.27,2.15,42.86,-188.26,0.942,10.86,11.895,10.866
128,0.41376473,73.61187664,15.2,0.63,75.54,-12.36,0.182,6.5,6.74,6.521
129,0.41560234,5.37275092,6.6,1.3,5.33,23.58,0.559,9.32,9.967,9.395
130,0.41825279,-30.69250699,2.93,1.38,16.06,-12.27,1.08,9.14,10.493,9.243
131,0.4199422,62.01815066,8.11,0.83,-14.27,-26.03,0.2,8.13,8.358,8.142
132,0.42200516,-34.65350786,1.89,1.91,5.38,-15.37,0.358,10.62,11.02,10.642
133,0.4233689,-40.14866597,3.51,0.79,33.7,-14.84,0.545,6.62,7.266,6.682
134,0.42514055,-1.13997217,1.3,1.71,23.15,5.09,0.264,9.96,10.236,9.958
135,0.42674592,-0.21749947,20.1,1.22,20.73,-114.08,0.62,8.64,9.393,8.724
136,0.42864226,24.2531808,5.84,0.78,18.5,-28.01,1.153,6.6,8.085,6.724
137,0.43268925,42.36714821,2.45,0.69,5.11,-1.77,-0.042,6.25,6.187,6.238
138,0.43720393,-16.53172119,6.34,1.89,94.8,24.68,1.074,7.83,9.214,7.954
139,0.4452924,67.5069762,1.62,1.45,-3.6,-0.44,1.289,10.03,11.515,10.129
140,0.45267471,-68.10481108,8.98,0.93,100.92,-35.54,0.546,9.04,9.684,9.102
141,0.45342986,36.3503456,5.61,1.1,21.36,5.19,1.35,8.47,10.221,8.609
142,0.45374866,66.30600204,16.04,0.69,4.74,12.31,0.73,7.33,8.222,7.414
144,0.4550899,76.17561121,3.57,0.75,18.53,-5.64,1.364,8.66,10.455,8.825
143,0.4551821,21.4621375,20.05,1.64,177.97,150.19,1.033,10.35,11.559,10.36
145,0.45598912,-3.02747891,7.98,0.71,18.9,-10.25,-0.128,5.13,4.964,5.106
146,0.45619148,-25.79769516,4.39,1.29,-130.61,-341.77,0.306,8.96,9.288,8.988
147,0.46604367,21.02624872,-0.13,1.19,6.24,-5.12,1.569,8.49,10.534,8.645
149,0.47868501,26.00557721,22.92,2.17,-309.64,-628.61,0.932,11.26,,
148,0.47879268,15.52852839,4.22,0.96,11.25,5.41,0.584,8.15,8.863,8.235
150,0.48036559,-37.22984397,7.5,0.84,-19.88,-44.75,1.06,7.04,8.422,7.177
152,0.48445318,-28.13095543,5.1,1.42,-12.42,3.03,0.456,10.02,10.464,10.069
153,0.48454484,12.65495324,5.54,1.23,-13.44,-26.84,0.459,8.9,9.423,8.935
151,0.4845824,-41.61373674,7.56,1.37,89.74,-15.52,0.411,7.78,8.279,7.824
154,0.48996506,-6.01397169,7.86,0.94,46.62,-41.32,1.631,4.37,6.483,4.588
155,0.49113894,46.26916275,2.28,1.39,15.17,-2.88,0.283,9.93,10.205,9.907
156,0.496885,63.3578458,3.09,0.84,8.33,-8.04,0.1,8.6,8.698,8.606
157,0.50032768,-5.21399723,6.87,1.28,39.43,29.54,0.903,8.51,9.661,8.622
158,0.50047134,-37.90179046,7.03,0.89,121.63,-35.97,0.999,7.09,8.366,7.202
159,0.51081115,-2.76616306,16.92,0.81,39.33,-3.17,0.292,6.93,7.275,6.968
160,0.5117152,-69.26920741,2.07,0.8,14.52,3.76,-0.052,8.68,8.602,8.649
161,0.51248009,33.69599071,2.38,1.09,-23.14,-13.48,1.5,8.98,10.906,9.119
162,0.51336753,27.11861943,2.71,1.33,-4.89,-6.9,0.696,9.84,10.636,9.941
163,0.51714313,-30.68523468,2.92,1.26,16.59,2.68,0.107,8.98,9.102,8.973
164,0.51857812,59.94001211,4.41,0.82,114.98,36.86,0.97,7.98,9.176,8.077
165,0.51974463,-22.32747055,-0.59,1.74,-4.6,-6.57,0.45,10.16,10.681,10.203
166,0.52152674,-56.51490157,9.46,1.18,-47.58,-12.05,0.66,8.86,9.684,8.947
167,0.52780714,39.1832136,3.5,0.9,6.08,-4.37,0.06,8.58,8.658,8.573
168,0.53352192,-2.81984528,1.95,1.34,-38.31,-93.38,1.113,9.56,10.903,9.66
169,0.53502093,-68.28020594,63.03,1.98,207.45,-231.8,1.39,9.24,10.801,9.295
170,0.5376772,-20.87164212,5.96,2.02,-29.52,-8.33,0.509,9.63,10.214,9.68
171,0.54018776,27.08448905,80.63,3.03,778.59,-918.72,0.69,5.8,,
172,0.54288062,67.40895644,1.27,1.11,-1.45,-1.63,0.976,9.05,10.315,9.18
173,0.54959887,47.57722222,1.31,1.03,-8.42,-6.78,0.248,8.45,8.753,8.493
174,0.55156687,59.96533825,3.89,1.83,15.17,-0.1,1.035,8.86,10.173,8.963
175,0.55243583,49.77113897,3.98,0.87,-7.42,-21.74,0.923,7.84,8.994,7.929
176,0.55333411,44.42827722,3.82,1.07,19.01,-6.2,0.53,8.86,9.498,8.931
177,0.56020401,-11.96434717,5.47,1.25,9.52,-1.99,0.172,8.93,9.137,8.951
178,0.5677962,-27.13517299,9.02,2.5,99.62,8.25,0.556,7.97,8.6,7.997
179,0.56886229,-13.40751554,14.91,0.9,261.21,32.13,0.534,6.9,7.548,6.956
180,0.57090231,-9.17489501,2.8,1.12,3.94,-13.52,1.171,8.47,9.982,8.598
181,0.57381667,60.7031946,2.51,0.64,-8.91,-11.05,1.832,6.77,9.142,6.975
182,0.58116809,52.58643746,3.32,1.16,6.78,-12.63,1.004,8.55,9.829,8.659
183,0.58297574,-29.72044805,6.4,0.87,9.66,14.0,-0.15,5.04,4.852,5.009
184,0.58977565,11.00634091,29.75,1.21,-2.65,-43.21,0.888,8.48,9.574,8.541
185,0.5901502,10.78564387,11.74,1.8,-45.33,-115.73,0.53,8.53,9.211,8.555
186,0.60069792,8.9568336,7.55,0.82,-0.87,-4.11,0.182,6.33,6.555,6.354
187,0.60211418,-6.05918213,6.69,1.38,69.03,-36.17,0.5,8.99,9.585,9.052
188,0.60250452,6.33313676,10.49,1.23,77.39,-50.94,0.488,8.64,9.211,8.691
189,0.60528721,54.13515756,2.49,1.41,-12.95,-7.46,0.237,9.55,9.819,9.57
190,0.60555642,10.77665206,10.47,1.17,-49.43,-118.65,0.57,8.74,9.442,8.779
191,0.61228711,-46.02884131,22.98,4.38,192.39,-22.43,1.49,12.43,,
192,0.61983117,8.39393024,3.31,1.11,-1.77,-29.14,1.032,8.16,9.475,8.269
193,0.62164007,-39.21249918,4.77,1.47,28.73,-37.91,0.944,9.46,10.628,9.535
194,0.62398938,8.48557854,26.53,0.77,-93.55,-47.5,0.315,5.7,6.069,5.735
195,0.62573691,47.42295978,8.08,1.0,12.29,-28.62,0.517,7.62,8.22,7.668
196,0.62700447,51.82997958,0.98,1.18,0.32,-1.45,1.677,8.95,11.15,9.126
197,0.63232895,42.14779896,1.62,1.16,-7.69,-8.04,0.952,8.97,10.192,9.088
198,0.63269567,15.33519012,5.12,1.11,21.03,-7.14,0.276,8.94,9.248,8.958
199,0.6350323,16.25655097,4.07,0.88,-11.07,5.7,0.074,7.24,7.316,7.241
200,0.63546326,-33.99267216,3.17,1.67,8.78,16.25,0.323,10.32,10.653,10.312
201,0.639314,18.68336438,10.06,0.99,-13.19,17.41,0.474,8.24,8.796,8.292
202,0.64173419,54.55216087,2.6,1.1,1.53,-8.82,0.303,8.62,8.929,8.631
203,0.64222918,-15.83126945,2.16,1.59,22.6,7.37,0.981,9.18,10.438,9.297
204,0.64508403,-43.94791349,2.53,1.0,42.05,-6.43,1.274,8.53,10.201,8.685
205,0.64571113,-5.18664439,8.84,1.25,-24.78,-2.83,0.384,8.54,8.992,8.586
206,0.64683993,18.83599601,9.32,1.02,-18.5,19.7,0.436,8.56,9.089,8.626
208,0.64992943,-67.63428107,2.46,1.07,21.72,-2.68,0.967,9.41,10.564,9.441
207,0.65034249,66.09896341,1.57,1.67,3.32,1.14,1.073,5.87,7.222,5.963
209,0.6601596,66.10037725,-0.69,9.62,8.09,9.09,0.085,7.2,7.404,7.294
210,0.66214867,-8.48794379,7.65,1.93,-2.72,-4.67,0.47,9.05,9.742,9.158
211,0.66317884,-37.94768074,3.88,1.36,13.88,-16.4,0.832,9.52,10.536,9.593
212,0.6634419,-29.07525103,6.18,2.04,24.31,1.45,0.318,10.24,10.662,10.327
213,0.66686344,51.47241278,7.8,0.95,42.82,-4.99,1.003,7.7,8.969,7.8
214,0.66917246,28.54222144,3.36,0.99,0.01,-0.06,0.29,8.17,8.524,8.197
217,0.67441616,82.97320953,2.73,0.63,-10.9,-3.07,0.118,7.29,7.426,7.304
215,0.67449039,75.03619342,3.49,0.94,4.08,7.28,1.8,9.26,11.63,9.501
216,0.67692229,42.92069156,3.21,0.89,-11.81,-17.65,0.016,7.94,7.957,7.945
218,0.67974974,-57.63363086,4.14,1.05,-26.92,-16.14,1.005,8.42,9.696,8.524
219,0.69022925,6.03445242,10.78,1.28,31.94,-21.4,0.602,8.56,9.254,8.605
220,0.69173956,35.81547283,6.27,0.81,13.73,-2.33,0.18,7.52,7.733,7.54
221,0.69321513,80.28224146,7.68,1.11,47.54,17.14,0.483,7.74,8.175,7.734
222,0.69448089,-40.9831797,2.62,1.16,-3.09,-20.43,1.113,8.85,10.291,8.981
224,0.69625192,3.86040514,1.25,1.47,3.01,4.28,1.01,9.01,10.316,9.138
223,0.69641117,2.1303764,21.58,1.65,62.25,-91.23,0.617,7.17,7.994,7.336
225,0.7000638,-15.04053128,7.23,1.56,21.33,-4.7,0.489,9.04,9.597,9.087
226,0.70031218,-24.94525463,0.63,1.67,54.29,-17.92,0.254,10.3,10.601,10.331
227,0.70416774,80.28651236,8.72,7.25,48.59,27.27,0.442,9.86,10.295,9.826
228,0.71015217,28.25189113,9.53,0.87,41.41,5.68,0.532,7.64,8.266,7.697
229,0.71393463,47.25228068,2.16,2.57,18.8,-5.1,0.128,8.27,8.673,8.54
230,0.71569526,30.3365158,8.62,1.31,67.16,10.79,0.423,8.44,8.955,8.507
231,0.72341351,-58.78139077,4.59,1.21,75.02,-3.02,0.5,9.58,10.163,9.63
4769,15.32323552,-33.71258608,11.17,3.61,-11.01,-12.91,-0.241,12.63,,
232,0.73006132,-30.14977973,5.18,1.11,20.22,2.81,0.007,8.43,8.455,8.421
233,0.73197615,71.35854324,2.5,1.03,-6.98,-11.07,1.18,8.49,10.013,8.617
234,0.73358145,70.23800778,2.91,1.08,3.83,-3.04,0.31,9.64,9.983,9.656
235,0.73646864,71.36804423,2.6,1.31,-1.98,-5.69,1.222,9.17,10.778,9.329
236,0.73781657,-0.89382979,2.96,1.08,19.44,-18.16,1.26,8.09,9.723,8.225
237,0.7391122,-39.52732256,6.32,1.32,60.22,-37.0,0.903,9.0,10.134,9.096
238,0.7392741,-20.04607402,16.16,0.96,100.38,78.95,0.526,6.25,6.874,6.308
239,0.743174,3.38193739,4.77,1.27,5.04,-2.17,0.521,8.56,9.168,8.612
240,0.74376859,9.79522025,3.36,2.03,-15.69,4.4,0.565,10.81,11.662,10.799
241,0.75196696,9.13829706,2.37,1.28,21.34,-7.21,1.01,8.76,10.049,8.871
242,0.75216595,-34.74405055,7.41,0.93,21.85,45.7,0.967,7.76,8.991,7.868
243,0.75337695,-60.69189462,4.11,0.8,-5.55,-2.53,1.041,7.82,9.143,7.925
244,0.75886478,39.99515242,3.49,0.74,1.82,-3.26,0.668,7.9,8.693,7.965
245,0.76358207,-7.81552594,3.31,1.13,62.16,3.67,1.036,8.52,9.841,8.63
246,0.76368704,56.733184,18.29,1.56,177.58,46.91,0.99,9.73,10.937,9.887
247,0.76552823,8.2614134,6.08,1.68,-37.8,-49.68,0.346,9.19,9.666,9.192
248,0.76575139,8.27080462,9.03,1.17,-35.94,-49.91,0.342,8.1,8.437,8.1
249,0.77419621,31.87010321,13.24,1.03,9.9,-8.32,0.552,8.75,9.436,8.844
250,0.77431725,52.46516859,5.19,1.99,-8.04,-16.48,0.88,8.14,9.266,8.263
251,0.7754055,-25.26104885,-0.53,1.21,-27.86,-26.85,1.349,8.65,10.431,8.82
252,0.77959051,29.48598254,-0.95,2.86,16.56,-1.5,1.082,10.3,11.607,10.502
253,0.78257245,-24.14513788,6.78,0.88,59.32,-3.14,1.176,6.46,7.982,6.587
254,0.78466955,42.74791705,5.96,0.76,32.79,-3.84,0.051,6.73,6.779,6.729
255,0.79452371,-24.58828778,11.84,1.16,52.44,12.15,0.421,7.96,8.441,8.008
256,0.79659523,54.51584355,4.73,1.44,1.26,-28.47,0.461,9.53,10.002,9.512
257,0.80301496,-31.21239379,3.15,1.18,18.69,4.06,0.081,8.87,8.95,8.884
258,0.80532807,17.55239698,6.28,0.78,58.45,-52.87,1.122,6.59,8.037,6.716
259,0.8059041,48.7223389,0.54,1.23,0.05,-18.44,1.455,8.65,10.57,8.825
260,0.81709566,-55.40508846,6.1,1.44,31.28,7.35,0.432,9.64,10.059,9.616
261,0.82050122,-23.61534569,8.21,2.41,12.67,-36.54,0.424,9.15,9.688,9.191
262,0.82579542,32.84586959,4.31,1.25,52.2,-2.29,0.422,9.04,9.593,9.161
263,0.82923787,4.68713578,32.93,3.49,-24.45,-85.41,1.473,12.04,,
264,0.83207925,38.24401553,3.69,0.9,-0.8,-1.41,1.174,8.42,9.948,8.56
266,0.83535989,-11.94520986,3.38,1.13,-11.03,-64.74,1.125,8.09,9.54,8.215
265,0.83539281,-64.4760807,1.06,0.94,-2.22,-5.83,1.688,9.06,11.258,9.219
267,0.83541112,-4.14573041,11.66,1.42,-22.91,-10.99,0.455,8.09,8.584,8.147
268,0.84180567,59.07861165,0.24,1.01,-3.63,-2.69,1.462,8.18,10.095,8.341
269,0.84205196,23.5750499,3.82,1.02,-10.23,-6.37,1.125,8.77,10.242,8.917
270,0.85005688,73.17449052,4.7,0.63,-22.46,2.59,0.146,7.36,7.554,7.402
271,0.85277163,-35.96517367,4.81,1.11,21.93,3.86,0.232,9.16,9.433,9.165
272,0.85551618,-26.41518293,1.39,1.31,13.15,-0.95,0.979,8.82,10.038,8.9
273,0.85687021,-46.83096933,1.86,2.09,-2.2,-1.32,0.041,11.14,11.293,11.217
274,0.85715406,63.64052431,0.93,0.57,-3.27,-1.83,0.332,6.24,6.598,6.296
275,0.85767485,-29.0006136,5.68,4.61,-24.45,-20.17,0.439,9.44,9.987,9.536
276,0.85791177,20.66591788,15.55,0.95,57.24,-159.75,0.636,7.49,8.237,7.555
277,0.85927886,-36.25120504,15.84,0.81,72.54,5.06,0.353,6.96,7.347,7.007
278,0.86311931,55.55090206,2.79,0.95,-0.95,-0.68,-0.023,7.94,7.9,7.949
279,0.86377495,62.35780416,0.81,0.87,-1.44,0.85,0.12,8.69,8.821,8.683
280,0.86626632,53.31270092,4.83,0.97,-15.35,-4.99,0.134,8.15,8.302,8.163
281,0.87618718,55.05995058,2.88,1.1,3.72,4.16,1.655,8.45,10.604,8.651
282,0.87642718,19.3815717,1.62,0.97,0.04,-31.13,1.408,7.92,9.749,8.063
283,0.87715545,12.35682896,4.99,0.99,-15.05,-3.46,0.353,7.45,7.828,7.482
284,0.87833784,-65.8275666,2.11,1.04,22.94,25.33,0.956,9.01,10.209,9.1
285,0.88067333,-35.60222342,1.38,1.06,56.12,-2.58,1.212,8.55,10.107,8.671
286,0.88130145,78.71780714,0.11,0.93,16.55,7.75,1.006,9.23,10.493,9.32
287,0.88580553,-13.2272653,1.19,1.4,19.34,-11.02,1.538,9.16,11.085,9.346
288,0.88875927,42.35221969,5.49,0.97,98.95,-46.75,1.071,7.9,9.287,8.031
289,0.90235854,-51.80908752,3.48,1.17,5.81,-5.03,1.011,8.68,9.972,8.793
290,0.90411412,-31.09403248,15.26,1.03,93.72,-42.84,0.563,7.78,8.423,7.844
291,0.90454413,-28.41713516,1.46,1.04,10.67,-0.76,-0.123,8.21,8.037,8.166
