#hip,pmra,pmdec
68707,-10.66,-2.64
68731,-34.53,3.18
68747,-25.14,7.17
68776,-39.4,1.04
68783,-48.39,196.25
68790,-67.02,5.0
68799,-210.17,4.96
68850,-67.3,-16.05
68864,2.17,2.85
68870,9.19,5.07
68889,-329.17,-3.76
68911,-18.03,5.74
68951,-69.07,-92.57
68952,-26.62,-52.85
69015,-15.06,-16.42
69016,-51.79,-5.82
63659,-14.92,-9.7
63661,-315.23,38.11
63670,1.18,25.62
63703,-46.12,-5.64
63746,-36.85,-24.32
63750,-35.46,-40.68
63781,-34.09,-21.31
63803,6.46,-18.73
63810,-85.29,-105.43
63855,-0.72,-1.94
63876,-32.09,-8.03
64000,-50.54,17.53
64001,-4.59,10.24
64120,-14.89,21.96
64221,-67.27,-77.37
64247,-62.77,-5.95
64298,-9.78,-9.28
64318,-0.15,12.73
64351,-14.72,-7.14
64457,-138.66,10.57
64460,-28.39,-12.33
64467,4.66,-0.94
64498,-115.76,-31.99
64512,-18.24,-3.37
64569,-36.21,-2.62
64571,-8.32,7.64
64575,-118.8,69.7
64674,-31.3,-1.57
64721,-21.45,-126.88
64731,16.84,-10.16
64769,-33.64,-30.61
64838,-68.06,-9.6
64963,7.34,-30.04
64965,-637.7,-130.55
64968,-99.41,-50.61
64980,-32.6,-167.62
65081,37.21,-191.08
65083,127.49,-250.72
65238,-37.95,9.6
65261,-25.02,-10.51
65270,-13.07,14.98
65360,-48.94,-20.29
65397,-1.84,-23.19
65399,-6.1,-15.61
65406,-36.23,-28.55
65411,61.5,-141.87
65478,-8.95,-2.98
65514,-20.4,15.03
65531,-3.73,2.73
65540,-1.72,-5.47
65545,-113.0,4.91
65651,-12.46,-94.11
65683,-30.83,-21.88
65708,225.9,-405.85
65714,152.8,-486.54
65789,-165.84,-0.95
65796,-42.63,-58.72
65840,2.66,-4.38
65874,7.87,-3.47
65879,7.65,-16.02
65920,-5.2,34.95
65934,-68.99,-8.37
65943,-27.54,10.8
65982,-854.53,269.8
65987,-1.29,-51.21
66024,17.66,-6.22
66031,-52.91,-6.52
66097,-33.3,-9.76
66212,-202.52,25.68
66249,-280.48,49.05
66293,-33.66,-26.89
66353,11.91,-22.4
66367,-222.95,-53.06
66369,-30.83,1.55
66391,11.42,-7.26
66460,3.06,5.27
66482,4.96,-24.72
66499,-9.98,5.7
66581,-29.32,20.08
66643,-328.75,-187.53
66673,-230.02,-80.45
66686,-29.22,-36.22
66833,-0.04,-14.34
66840,-160.11,-428.85
66886,-287.21,-155.55
66922,-73.08,-1.33
66927,10.67,6.29
66982,-16.56,-29.29
67070,1.5,-15.98
67088,7.57,-18.29
67099,-33.68,-24.8
67211,-427.96,-31.27
67216,1.89,4.69
67279,-2.73,-1.98
67313,-1.52,5.14
67319,-43.89,4.82
67339,25.27,-20.05
67373,-32.15,-19.51
67385,6.39,-7.41
67387,-4.54,-1.89
67412,-137.0,-43.8
67439,-31.34,2.35
67486,-34.01,2.98
67599,-66.33,26.78
67709,-1.44,-9.26
67723,8.44,-46.7
67785,5.59,-37.13
67873,4.34,26.31
67875,-64.23,-44.58
67894,-69.06,-85.82
67929,-85.72,-21.79
67946,-35.63,-16.18
67994,-16.11,-30.68
68062,-12.97,8.78
68121,-2.64,1.43
68210,-80.37,-41.38
68258,3.9,-5.88
68297,2.31,16.45
68370,2.83,-7.62
68373,29.02,-28.66
68380,-29.15,-57.74
68440,-37.1,4.6
68469,-823.47,598.19
68595,50.73,-23.88
68605,-6.79,8.79
68626,-15.28,13.32
68668,35.74,-20.69
68718,-2.25,-8.95
68755,-180.22,-144.36
68794,-30.7,-11.2
68810,-21.94,-6.86
68906,-9.18,-9.66
68997,-29.88,-33.27
69009,-7.4,-17.23
69025,-11.86,-3.89
69031,9.57,-1.77
69044,-61.22,-16.76
69058,-2.04,-19.75
69145,-15.63,-11.48
69152,14.11,17.78
69190,-34.89,-16.47
69219,-135.02,-77.21
69289,-19.77,8.43
69328,82.79,-175.49
69402,-19.1,-40.65
69409,-50.31,-4.06
69414,-160.88,-321.9
69493,206.64,-139.48
69499,-29.55,-8.83
69529,-36.58,-14.41
69531,-1.44,-12.76
69537,-5.14,6.19
69567,-11.64,6.5
69651,100.95,-126.15
69705,2.89,-2.43
69747,-22.08,-31.24
69777,-25.34,-11.12
69785,51.38,-140.19
69866,-24.32,-30.96
69911,-100.22,-159.29
69997,-107.23,9.93
70002,-20.3,-6.57
70012,-117.33,-71.62
70022,-38.47,-11.92
70081,-101.83,-77.93
70106,-47.93,-6.18
70138,10.76,3.92
70188,-15.01,-16.81
70220,-58.34,-5.4
70282,-59.33,-13.06
70285,-17.26,-7.66
70309,2.22,-5.23
70397,1.26,-26.77
70439,-29.7,5.36
70457,-4.78,-10.5
70531,-91.95,-52.57
70566,-25.32,-21.59
70595,-73.74,20.98
70611,-24.91,-21.28
70665,-59.52,36.02
70702,0.49,-21.52
70717,-37.3,1.78
70741,37.16,-41.61
70747,-6.26,1.26
70755,-139.53,-4.04
65570,4.8,3.06
65590,-15.35,-5.83
65642,-55.67,-12.36
65653,39.66,-129.85
65656,-38.8,20.45
65712,0.43,-8.47
65735,-9.87,20.53
65751,9.83,-5.35
65772,-52.03,6.22
65801,7.23,-9.52
65807,-12.73,10.23
65821,-13.23,-5.97
65877,-1106.3,-475.97
65892,44.54,11.76
65927,20.97,-17.26
65928,-18.63,-2.31
65940,50.58,16.4
65957,-17.37,9.29
65963,-251.71,-112.17
65991,-61.27,-19.28
66000,8.26,-34.6
66006,-103.94,-43.87
66039,-9.21,13.61
66064,13.07,-7.15
66098,-31.91,-38.93
66100,-17.84,2.67
66115,-237.51,47.52
66131,-74.16,3.9
66137,15.5,-15.87
66143,-22.39,-3.51
66226,-12.4,-8.57
66250,8.91,-6.93
66252,-285.9,-92.13
66265,4.24,-5.52
66266,-6.04,-1.85
66280,-33.68,-7.98
66311,-47.58,-35.85
66320,16.08,82.4
66324,-17.01,0.19
66335,-8.93,0.04
66339,-2.86,-8.41
66347,-82.61,-15.58
66362,-28.72,-21.78
66443,-36.69,4.7
66450,-47.5,-23.2
66465,-15.21,-7.93
66468,-60.9,6.72
66535,-6.58,-1.82
66549,-103.61,-37.58
66560,-24.95,-15.92
66587,99.26,-184.36
66600,9.77,-22.94
66623,-32.81,4.69
66638,2.99,2.07
66646,-22.75,9.18
66659,-4.78,5.75
66675,-386.65,483.66
66695,-2.75,-8.51
66706,-17.26,25.96
66757,-2.41,-41.25
66764,-26.32,-28.23
66803,-91.8,40.22
66815,-202.9,-64.08
66831,18.05,-18.89
66853,-14.75,7.91
66929,-22.23,3.56
66966,-32.54,-24.34
66972,-25.09,-24.12
66987,-263.97,-103.21
67004,-52.45,-14.87
67031,-9.25,-8.78
67047,-1.59,3.6
67072,-17.21,-20.55
67082,-38.22,2.86
67083,-49.01,10.27
67092,-159.88,-95.65
67112,-72.91,-133.64
67117,-7.69,-4.64
67145,33.98,-30.86
67209,-5.17,-0.49
67271,-3.18,-42.63
67282,-3.48,-44.19
67285,-340.89,-574.78
67289,-67.29,-12.54
67315,-0.93,-5.29
67323,-62.56,-12.63
67333,-118.93,-106.16
67344,-258.4,-4.33
67355,-39.64,-19.39
67366,47.61,-150.11
67370,-10.57,-6.71
67402,-41.31,-42.04
67433,-4.11,-0.96
67471,-25.87,-10.62
64638,-218.31,-295.15
64643,0.76,-6.92
64718,17.66,-19.91
64750,35.96,-25.58
64808,-41.32,-11.51
64819,-111.13,-61.17
64828,-63.69,7.87
64843,-33.48,-60.09
64878,-37.39,6.13
64895,-331.94,-234.29
64900,-82.39,170.51
64905,-226.31,-165.51
64924,-1070.36,-1063.69
64944,28.27,6.66
64952,-71.94,-61.05
64953,-32.75,-3.32
64971,-92.37,-1.33
64993,26.42,-37.63
65004,-63.53,5.51
65014,-21.91,3.98
65023,-29.15,-18.81
65074,-113.52,-5.34
65086,17.11,-32.02
65111,-50.62,-42.87
65116,37.13,-11.34
65122,-17.36,-3.94
65191,-61.8,-11.85
65235,4.99,-44.94
65239,4.18,-3.8
65275,-163.37,-39.64
65283,-23.13,-2.1
65301,-49.71,-29.39
65310,-15.66,-3.29
65313,4.24,-11.55
65319,89.13,-97.74
65344,3.6,-45.11
65354,-36.48,-4.08
65356,50.97,-66.55
65362,-707.97,-412.09
65369,-37.74,-30.11
65463,-46.36,-6.66
65474,-42.35,-30.67
65532,21.92,54.1
65548,-62.06,-26.82
65552,-5.23,-24.17
65553,60.84,-112.06
65575,10.68,-6.5
65581,-129.31,-20.83
65614,-53.77,-31.47
65623,-16.14,20.98
65639,-121.74,20.62
65652,-33.57,33.36
65680,-49.68,5.74
65724,-24.54,1.3
65845,-41.55,17.64
65849,0.27,8.36
65856,2.83,10.16
65912,-18.08,-27.93
65939,7.63,-13.29
65949,-107.72,1.74
65956,-127.63,-43.29
65983,-43.55,-12.0
66018,-32.88,-81.43
66045,-49.63,-2.97
66076,21.85,-7.06
66078,-29.19,-46.02
66091,-76.31,-0.49
66203,37.89,-46.25
66216,-68.48,-56.78
66231,-1.49,-25.15
66233,-43.38,6.93
66235,-16.2,-10.59
66246,-24.52,-12.87
66247,-47.39,-7.87
66319,20.43,-17.7
66338,-24.05,-10.16
66343,-23.48,3.88
66377,-5.35,-0.23
66423,-12.63,-18.03
66453,-161.53,-193.23
66504,61.63,-31.43
66510,9.33,9.02
66512,23.68,-0.11
66544,-1.25,-4.59
66548,-29.82,1.7
66596,-7.93,2.6
66616,-280.53,4.96
66617,14.15,-51.68
66619,-15.01,-15.85
66636,-89.83,-27.16
66663,-3.87,-8.29
66717,-46.76,-13.18
66743,4.04,-0.36
66749,-36.82,-10.71
66810,-17.42,6.93
66811,5.68,-14.53
63884,-23.05,-3.23
63902,48.93,-87.73
63939,5.23,-22.28
63944,-13.27,-27.63
63984,-3.72,-16.03
64008,34.8,-24.09
64030,-92.37,-100.45
64041,-2.91,-61.98
64045,125.5,-161.47
64051,24.97,-22.3
64082,44.74,-18.87
64086,10.06,-1.89
64103,-275.35,-53.64
64150,84.72,-670.11
64159,-39.87,-10.09
64167,-212.54,-62.59
64174,-37.27,6.66
64207,-50.4,34.4
64211,-6.93,-15.75
64265,-25.2,6.26
64311,36.6,-73.48
64330,-27.24,-23.33
64350,-38.93,-3.34
64409,15.43,-8.24
64433,-9.3,1.77
64453,-20.21,-4.64
64483,-55.65,-2.09
64556,-53.54,-45.27
64586,-18.76,-13.96
64645,-52.31,-7.4
64680,-121.97,-98.47
64693,-64.17,-38.97
64697,-12.3,10.12
64726,-136.34,27.98
64733,-57.2,11.98
64768,-18.66,-54.73
64795,-9.9,-57.43
64799,-25.87,-2.48
64800,11.9,-9.83
64802,-101.73,-5.73
64852,-6.06,9.14
64917,-16.26,2.52
64930,26.35,-97.73
64954,-53.36,-14.15
64958,21.03,-34.17
64959,-11.89,-17.72
64960,-66.35,-44.9
64983,-1.98,-7.01
64984,-265.91,-43.25
65013,-56.78,24.13
65051,-81.18,79.53
65067,4.84,-8.11
65106,-33.93,-4.61
65119,-61.88,-10.77
65121,-508.92,202.78
65192,-15.08,-28.09
65198,-59.58,-52.6
65204,-7.31,-66.68
65211,-21.18,-14.99
65225,-3.86,-18.26
65241,-69.44,-35.39
65248,-8.74,-0.11
65320,-22.75,24.67
65352,13.54,196.94
65355,5.83,202.13
65401,53.46,-119.89
65405,-26.63,-9.73
65428,-24.35,-0.32
65442,2.11,17.37
65483,29.11,-57.17
65516,-25.78,6.24
65538,-8.75,0.77
65555,-103.38,6.78
65563,-28.2,-31.56
65564,-20.92,-11.69
65654,-135.27,-0.73
65660,-1.34,-3.95
65704,-25.53,-11.23
65717,-54.44,-11.26
65766,-11.32,3.79
65791,-13.94,-4.33
65816,-20.73,-23.03
65839,-65.99,-100.36
65852,-31.45,-7.24
65855,-14.54,59.1
65931,3.1,1.13
65959,-26.29,5.65
66002,-96.94,19.33
66033,-40.76,80.45
66071,2.62,-16.08
66113,35.74,23.2
66140,-18.54,-0.89
66169,-170.62,-175.56
66173,-10.27,6.77
66174,-7.68,-16.41
66197,-32.06,-58.56
66200,45.51,-24.7
66222,154.03,-123.98
66227,29.48,-22.41
66256,-50.35,-30.29
66270,-18.52,-16.0
66297,-0.27,-1.15
61749,-5.78,-5.18
61768,-37.07,-3.98
61794,7.85,-119.85
61870,2.84,-8.58
61884,-24.68,-2.15
61908,-31.25,-2.73
61967,-9.11,-2.85
62020,13.09,-3.63
62030,-3.1,-7.89
62049,-23.15,-5.17
62062,1.54,-10.91
62063,-96.2,-60.65
62083,15.3,-14.03
62090,-23.98,-12.17
62123,9.19,-5.09
62180,49.6,-62.58
62183,-70.6,32.11
62262,-9.78,2.63
62274,-29.27,7.65
62288,-28.51,-1.33
62351,-4.99,2.81
62358,8.8,-54.24
62378,62.2,20.18
62392,5.74,-10.64
62447,-29.32,-29.02
62448,-43.81,37.35
62471,-302.67,199.37
62472,-322.17,176.57
62500,-153.55,-62.77
62553,-20.71,16.38
62582,12.45,-38.21
62583,-113.71,-67.64
62615,-13.0,8.26
62625,-10.97,2.35
62639,-184.87,-26.01
62659,21.55,-91.85
62669,-18.54,5.35
62684,-46.6,14.1
62788,-109.89,32.36
62790,-7.47,-10.69
62800,-50.61,-145.4
62834,-29.93,0.97
62866,16.61,-3.42
62892,53.55,-23.34
62905,-60.91,-13.41
62922,-61.42,0.17
62925,-33.2,-39.89
62979,68.64,-2.49
63019,-5.75,-5.98
63044,-244.48,-54.11
63055,-8.24,-9.63
63157,75.97,-219.48
63159,12.26,-20.96
63162,-58.24,-8.82
63188,-33.67,-4.3
63192,-58.35,23.02
63218,-23.06,-14.93
63243,-58.27,-12.9
63286,-121.91,-11.49
63296,-90.38,6.63
63321,-19.74,-3.18
63394,11.43,-18.45
63459,29.24,-30.74
63469,-44.52,-19.68
63559,-476.58,-203.12
63569,41.95,-22.89
63618,-153.09,-202.52
63650,-94.53,-9.2
63679,-35.27,-1.87
63719,9.35,-28.62
63743,-125.55,6.34
63751,-25.7,29.05
63776,-41.55,15.51
63778,-121.98,-63.08
63787,10.66,-43.13
63798,-59.64,53.79
63889,5.12,-28.46
63934,-9.17,-7.06
64002,-49.4,-10.91
63634,-25.22,5.51
63654,-64.16,15.95
63674,-5.24,-5.34
63685,-20.02,48.2
63742,-191.13,-218.73
63766,-104.31,-12.6
63818,-26.87,-21.52
63867,29.6,-33.7
63871,-2.85,-15.71
63873,15.24,-7.79
63895,-39.21,8.54
63896,-11.98,-9.39
63929,-55.35,-45.15
63931,-206.81,-24.17
63938,-107.44,-76.67
63958,-4.6,-17.83
63964,-151.12,20.16
63983,-192.25,-24.73
64010,11.02,-24.58
64023,-46.07,-9.8
64043,-179.63,102.44
64078,15.81,-10.34
64115,-219.83,82.11
64122,-37.07,-64.76
64144,-8.96,2.38
64147,-6.47,-20.03
64151,-32.92,-2.64
64171,-36.17,0.98
64181,-55.03,-0.91
64203,-142.97,-18.83
64210,-32.44,-4.25
64224,-13.29,-8.39
64225,-50.45,-17.48
64238,-36.28,-31.22
64288,-34.91,-16.15
64296,-70.79,-14.09
64308,-30.16,-4.32
64319,7.71,-15.41
64321,12.42,-175.64
64342,-12.66,13.78
64383,0.57,-18.08
64438,3.0,18.12
64497,-129.5,1.96
64499,236.35,-89.94
64505,7.01,3.23
64535,1.68,-43.31
64547,-80.05,38.88
64559,1.02,-13.1
64595,-171.42,-41.91
64625,-22.45,-44.13
64635,15.78,-7.82
64688,42.18,58.71
64732,-82.26,-39.14
64783,-10.34,-46.51
64796,-31.67,-5.41
64811,48.34,-57.79
64834,-83.44,15.94
64865,13.7,-50.45
64909,-30.67,-9.15
64911,-32.27,9.45
64932,-42.83,-6.18
65025,-46.83,-5.25
65030,-5.63,0.14
65078,51.04,-11.33
65093,-4.42,14.93
65107,-7.79,-8.92
65132,-127.19,-239.84
65142,-2.52,1.68
65148,-5.39,-17.94
65163,-122.53,45.27
65232,-220.53,-75.87
65243,-2.57,4.48
65250,-2.02,6.12
65265,-70.26,-142.9
65284,-14.31,17.14
65323,-18.69,-15.84
65332,-26.28,-32.63
65335,-22.09,5.64
65379,29.29,5.73
65392,-1.36,-26.59
65412,39.68,-29.87
65414,-83.1,-142.29
65420,157.91,-35.25
65445,-4.33,-25.6
65447,-6.93,0.73
65480,13.09,-0.37
65491,22.5,-34.78
63783,6.18,-66.09
63831,-70.62,-25.47
63846,-67.96,-4.86
63851,-175.81,-16.19
63917,-74.89,-72.95
63922,1.11,-5.23
63965,-0.01,-0.46
63981,-24.76,-34.6
64052,-30.78,-3.23
64055,25.85,-13.05
64066,-1.92,-19.73
64100,-6.82,-8.43
64112,-43.8,-15.1
64160,13.96,-13.51
64162,-9.59,-6.4
64176,-9.42,-9.07
64189,-16.96,-2.59
64193,29.58,-4.07
64256,-13.59,-5.18
64260,-8.74,-0.85
64264,-47.97,-23.52
64270,-16.94,-4.0
64282,13.55,-3.82
64292,-95.3,-39.25
64295,-137.59,-324.7
64339,-3.91,8.02
64362,-22.13,1.73
64436,-62.15,-182.23
64443,-240.75,-272.83
64444,-251.06,-268.78
64448,-17.38,0.19
64459,-202.87,-308.32
64475,-206.32,153.22
64479,-46.07,-15.9
64480,12.67,2.45
64534,-5.75,-8.68
64548,11.91,-16.97
64570,-32.29,-17.7
64576,-9.42,-4.45
64579,-26.34,-4.44
64594,40.67,-31.84
64602,-34.95,-4.83
64610,48.38,-5.95
64613,-15.84,6.71
64647,-31.72,-19.47
64695,-157.68,-103.83
64713,-110.57,-82.09
64763,12.33,-206.6
64772,-3.65,-14.86
64801,-50.02,-2.79
64803,33.64,-48.65
64804,-104.55,-19.82
64810,-12.03,0.23
64824,6.34,-7.19
64870,-13.44,-37.57
64920,-72.78,-86.06
64937,-31.35,-41.04
64942,5.02,9.52
64967,-35.12,-16.36
64975,-8.24,-7.9
65020,-12.51,3.69
65032,12.01,-4.83
65054,-17.57,-8.07
65092,-5.18,-2.74
65096,-24.95,-26.17
65097,-20.74,13.49
65137,-103.58,-34.08
65141,-148.83,-21.86
65164,-59.68,-79.3
65171,-28.7,-48.18
65177,11.38,1.97
65222,-116.24,37.4
65237,-10.96,4.52
65253,-26.68,5.88
65256,-2.06,2.19
65264,3.24,-1.09
65311,-17.59,4.56
65333,19.95,-31.58
65338,-12.99,-4.51
65382,2.11,1.38
65436,-18.72,-5.03
65441,-6.27,-5.97
65446,-40.23,0.03
65450,8.24,-2.07
65472,53.5,-52.05
65476,-12.08,1.35
65520,-452.04,-104.79
65528,-10.59,-5.36
65529,-16.34,-20.98
65539,-48.98,-16.35
65557,-30.43,-180.36
65567,-40.74,-17.57
65610,-9.07,-4.12
65634,-104.6,-44.54
65658,-8.57,-7.92
65662,-117.06,57.68
65688,-14.79,1.48
65701,35.41,-87.91
65787,-29.08,-15.48
65806,-21.18,-3.57
65830,-42.58,-27.95
65833,-15.02,0.43
65851,-58.49,-0.25
65861,-184.02,-20.65
65922,-12.09,-14.02
65924,-580.61,-350.04
60572,-11.02,2.14
60574,-124.44,-210.32
60602,-52.42,-2.73
60625,9.56,-26.21
60641,-81.65,26.97
60645,-29.14,-32.37
60648,-311.92,-75.88
60680,23.89,0.91
60688,-47.13,-6.17
60702,-21.74,-4.64
60726,-43.37,1.13
60727,13.19,-15.34
60748,-54.96,-1.77
60749,118.13,-93.23
60750,133.08,-93.71
60757,-14.87,-10.73
60806,-72.68,-164.24
60813,-87.73,3.23
60890,3.19,-36.27
60900,-14.46,10.96
60924,-21.08,-4.17
60938,4.69,-2.19
60953,-233.77,-153.73
60956,-327.65,-562.26
60987,-108.15,-67.56
61018,13.59,-26.39
61054,-62.81,5.1
61134,-32.44,30.14
61139,-17.74,-3.19
61161,18.47,8.02
61173,-26.05,39.09
61240,-84.36,54.92
61245,10.1,-25.97
61322,-34.71,1.14
61346,-44.62,-26.12
61349,14.16,-57.19
61358,-29.16,12.01
61400,-32.71,-2.92
61438,-84.01,21.6
61441,-24.64,-0.48
61464,-75.67,13.09
61491,10.08,-18.53
61531,-10.36,12.95
61542,12.06,9.37
61558,-28.18,-20.22
61578,156.3,-146.45
61581,-10.5,-18.51
61608,-116.97,-131.44
61672,-72.82,-0.81
61685,-47.47,-2.34
61687,309.88,-111.38
61695,-5.48,-3.12
61711,-79.8,3.32
61726,-158.67,-11.18
61763,47.9,-4.25
61791,-45.53,-11.32
61805,-21.14,13.8
61894,-36.9,-6.18
61899,7.13,-32.4
61921,46.66,-34.58
61941,-614.76,61.34
61953,-24.24,32.95
61971,-22.93,-24.9
61977,-120.23,-10.32
61992,18.71,16.93
62013,-54.92,-61.7
62036,-201.79,54.91
62039,-218.96,-180.32
62057,212.74,-185.41
62103,48.0,-74.57
62141,-70.67,-8.34
62160,62.66,-166.18
62166,-13.5,-3.37
62168,-20.39,7.87
62185,-20.71,-0.48
62233,-29.91,8.34
62234,-38.94,14.24
62238,-46.99,-28.37
62250,63.26,-15.61
62260,-18.62,7.16
62347,-15.62,-22.64
62348,-21.79,1.73
62380,-1.69,-6.23
62417,-70.2,-39.18
62422,-30.37,-15.93
62468,-88.01,-7.77
62549,-27.98,-24.46
62565,-10.72,-49.16
62567,-33.8,-0.91
62602,-22.73,-10.99
62664,-26.68,-2.24
62687,-29.59,-397.7
62688,-33.58,0.77
62693,11.67,-3.51
62729,-4.49,-5.83
62733,-13.43,2.79
62759,-5.22,0.56
62776,64.95,-38.01
62808,-1.25,-7.08
62875,-262.79,-3.87
62915,4.55,-60.79
62963,-29.79,-2.94
63093,-30.2,-4.22
63098,-3.0,-28.11
63099,-118.4,15.95
63155,23.58,-86.57
63201,8.27,-5.29
63269,-8.95,33.82
63309,-17.22,12.7
63328,22.44,-16.66
63342,-15.5,-43.65
63348,-2.13,-25.96
63361,-68.94,-50.6
63373,-69.23,1.7
63414,-49.49,8.99
63428,-61.48,-5.71
63446,-3.92,-12.97
63453,8.98,11.57
63467,-804.1,8.43
63494,-18.66,48.53
63496,20.73,-23.86
63545,-179.2,-5.32
61651,-37.39,1.03
61688,-119.19,25.46
61746,-88.54,-44.63
61804,-45.46,-12.17
61814,-34.36,3.19
61826,-222.09,-40.01
61853,-25.17,-3.1
61866,-20.28,-9.69
61922,-48.83,-9.13
61993,43.98,-58.72
62001,-21.81,-8.03
62024,-27.26,4.57
62035,-9.32,-4.95
62096,-32.95,-26.08
62120,-26.37,12.18
62174,-95.82,-29.35
62189,-5.22,-36.34
62211,-46.93,10.84
62222,-49.63,-88.33
62258,-49.42,13.56
62302,-9.06,-23.09
62315,-67.59,7.38
62329,-100.22,-23.29
62343,-23.42,3.26
62354,-34.53,-7.21
62460,-297.94,-28.34
62505,82.27,44.97
62508,-1.24,-30.73
62584,-11.95,-11.92
62610,-5.15,-34.1
62611,-16.05,-2.42
62647,-394.83,343.6
62668,8.31,-3.38
62735,-133.95,-91.41
62747,-274.59,-321.9
62768,-26.03,-16.85
62853,-29.66,-6.61
62868,8.63,2.09
62872,-11.48,29.15
62878,19.18,-7.72
62882,299.64,-794.83
62921,106.23,57.0
62951,-21.92,148.7
62954,-34.53,2.63
62973,-54.79,-18.41
62976,90.36,-115.56
62990,-51.29,-35.28
63046,-15.5,-4.3
63109,-18.85,-0.98
63134,-10.96,-18.5
63151,-97.23,-48.0
63178,-1.37,-23.83
63196,7.29,-23.82
63248,-181.31,-30.68
63249,-106.54,-61.86
63257,-350.43,24.6
63263,-66.12,-1.99
63281,-156.18,-23.91
63313,-5.21,-7.2
63393,-60.33,6.9
63413,-206.28,39.68
63436,-6.97,-3.94
63477,13.1,34.22
63501,-5.16,-1.52
63543,-34.98,2.44
63546,3.21,-6.07
63552,-7.07,-4.47
63593,-46.4,31.78
63610,-92.39,32.73
63662,-2.46,-12.93
63665,-46.03,-11.97
63672,-32.52,-4.22
63707,-7.5,-8.2
63709,8.46,2.4
63732,-49.4,-89.33
63734,-108.86,-30.04
63754,27.93,-148.47
63775,-56.87,22.14
63782,-51.49,-13.34
63789,-55.5,-9.65
63840,-39.53,-98.31
63872,-1.94,-28.19
63897,8.53,-23.68
63903,-39.34,-5.55
63915,-35.84,-22.39
63960,-37.88,12.85
64032,43.76,-80.08
64056,-129.68,3.8
64068,1.49,2.16
64093,2.62,-13.05
64118,-29.19,-79.83
64156,-37.2,-5.96
64164,-32.11,-13.04
64168,-50.87,-1.36
64198,36.8,-46.06
64218,-31.56,-0.49
64266,0.36,-12.48
64268,-24.3,-8.61
64326,-13.4,-32.34
64335,-34.96,-6.58
64340,4.57,-30.26
64346,-91.33,-35.44
64356,42.77,-26.21
64378,-63.48,-1.02
64393,11.14,2.36
64403,-14.91,-6.12
64404,-18.92,-8.99
64407,97.32,-287.65
64504,-12.07,-22.78
64511,-164.27,-49.74
64526,-82.25,14.44
64567,-154.13,-95.97
64573,136.97,-141.49
64574,-116.82,3.66
64628,-30.56,23.95
64672,-48.81,-22.04
61252,-98.57,-52.35
61261,-86.77,-13.74
61303,-66.35,-2.84
61304,-31.19,-6.9
61354,-6.48,-127.81
61369,5.31,-27.72
61417,0.46,-17.37
61428,-121.69,55.28
61458,-25.59,0.84
61529,2.24,19.66
61624,-58.9,-24.13
61628,-26.63,-31.23
61637,-29.88,-11.15
61641,-39.88,-2.82
61643,-8.02,-1.04
61658,-80.38,-16.92
61714,-44.43,8.33
61745,-28.6,35.79
61760,12.1,-23.17
61793,20.33,-36.96
61821,-74.02,3.35
61865,9.95,-8.27
61881,-67.34,-32.84
61952,-2.0,-2.66
61970,6.13,10.74
61991,-28.27,7.4
62005,29.59,-44.01
62016,-9.77,-50.55
62022,-195.88,-50.14
62034,-85.49,-94.6
62091,-19.71,22.33
62100,-16.37,-7.95
62147,-9.59,-21.92
62178,-50.48,58.59
62231,-152.45,-195.18
62235,-10.45,-48.0
62237,-40.78,12.76
62240,5.91,-226.55
62265,-58.75,0.28
62307,34.93,-84.52
62318,-41.86,-7.87
62320,-100.28,-47.21
62331,-26.54,-9.3
62376,30.93,-56.25
62401,9.91,-26.77
62443,-8.37,-3.28
62444,-10.09,0.33
62466,-76.42,-11.39
62473,-2.52,-8.89
62477,15.39,-29.1
62585,117.68,-68.5
62595,-12.51,16.1
62596,-78.56,-3.9
62607,-79.96,-644.02
62633,-31.73,-30.91
62660,26.51,-18.72
62698,53.87,-125.51
62702,7.11,-3.2
62704,-19.96,0.75
62712,-10.43,2.3
62736,-67.27,-35.32
62757,-36.07,19.47
62835,24.92,4.05
62849,-5.06,0.86
62917,-8.28,-43.9
62924,-28.53,-5.95
62966,6.71,-25.48
62980,-57.01,-56.04
62989,-23.95,18.7
63017,-8.58,-4.46
63037,-20.14,-32.63
63052,-15.57,-4.58
63056,-9.76,37.52
63062,30.8,8.14
63090,-469.99,-52.83
63209,-34.92,19.0
63217,-36.65,-0.35
63235,-134.61,-8.37
63354,-66.25,73.73
63383,-16.24,3.18
63386,-22.81,-16.53
63396,-25.31,16.5
63437,-0.75,2.83
63454,-66.84,14.94
63455,5.23,-18.77
63487,-31.7,28.01
63531,-25.22,-1.54
63560,2.21,-4.73
63615,-54.32,-38.98
63642,37.19,-17.46
63663,-9.75,-3.86
63696,-76.94,-74.18
63756,-48.25,7.2
62051,-102.24,-9.38
62061,-21.87,-11.36
62082,-29.97,4.01
62093,-228.71,-31.93
62095,-81.89,28.04
62114,-81.94,-28.9
62118,-73.53,-197.7
62131,-29.9,-38.74
62232,-40.52,-6.25
62236,-33.25,10.11
62282,-14.27,-2.24
62309,12.17,-5.65
62360,11.41,-28.34
62365,-12.27,-11.78
62407,-60.92,-30.74
62432,0.24,-16.65
62450,-57.28,-13.3
62481,-69.35,32.89
62485,-47.47,-6.1
62496,-13.94,-11.67
62511,-10.02,-91.01
62544,37.69,-41.41
62591,-1.11,5.92
62623,-4.16,-9.05
