#hip,pmra,pmdec
783,-0.2,-0.23
787,398.03,-232.19
832,16.55,-42.15
850,0.89,-8.58
888,81.87,-61.28
912,32.12,0.01
914,-118.21,-9.45
915,17.49,-1.06
953,-40.08,-121.06
963,-2.23,-7.0
1001,-11.73,20.47
1003,-14.13,-226.02
1028,116.86,35.61
1060,49.23,-9.37
1088,-32.95,-27.93
1151,-111.17,-87.81
1166,-15.42,-52.64
1175,-11.47,-9.73
1183,-5.35,-23.91
1187,75.73,12.82
1190,32.48,-30.63
1203,103.56,-54.28
1210,24.34,6.95
1223,5.56,4.38
1236,38.95,-2.49
1238,35.4,-10.78
1288,118.49,-26.92
1299,51.24,-40.86
1315,33.49,-9.9
1328,21.37,-16.74
1330,-27.02,-25.27
1494,38.24,-6.47
1500,106.63,-2.62
1514,49.24,9.4
1576,40.31,28.68
1625,253.81,-83.64
1631,15.51,-14.7
1659,-124.25,-252.43
1668,-116.38,-84.41
1679,79.24,-36.08
1708,32.76,-72.01
1734,62.95,-196.98
1789,15.2,-20.97
1830,21.88,2.98
1837,-31.33,126.26
1849,28.45,-40.04
1863,60.95,8.99
1870,59.77,-17.6
1928,22.83,3.15
1957,0.68,-7.02
1976,-167.45,-278.89
1986,-34.99,-34.02
2031,121.65,-153.77
2041,9.79,-4.17
2045,10.56,5.06
2141,47.82,-28.05
2155,11.29,-12.32
2157,23.21,-59.27
2177,72.83,27.11
2194,328.71,-104.34
2210,-20.1,-49.94
2227,-46.26,-26.43
2239,38.53,-43.59
2276,30.18,32.15
2295,58.06,-11.36
2319,86.26,180.24
2330,13.07,-23.11
2334,26.08,-11.83
2342,132.4,-29.62
2361,21.09,-18.06
2370,43.56,-53.09
2380,6.75,10.71
2433,33.65,-189.54
2438,30.85,-44.05
2506,76.48,-40.38
2551,40.89,-16.7
2617,55.72,-91.52
2661,-29.43,-29.84
2674,1.62,-0.15
2683,-32.46,-52.78
2685,15.05,2.52
2720,33.42,-11.61
2766,15.85,-77.9
2830,41.86,-17.05
2842,34.09,-13.34
2845,22.77,-9.58
2880,6.77,-1.3
2891,-29.37,-6.3
2992,14.04,-14.87
3011,58.09,30.16
3012,-26.43,-50.44
3105,28.65,-19.04
3117,6.3,-26.77
3177,26.56,26.4
3180,-13.14,-26.82
3182,136.46,107.8
3188,15.86,8.15
3200,-14.2,-6.31
3202,8.43,-3.77
3219,0.13,-3.7
3320,-5.23,-4.47
3321,-12.1,-9.58
3398,10.07,-45.32
118274,19.57,-6.24
118277,-7.31,-5.33
