Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
Willman1,162.33749999999998,51.04999999999999,0.04,11.89,16.04,3.7,0.53,-12,74,-2,Sph
KDG078,172.47499999999997,52.40388888888888,9.0,14.29,16.7,0.74,0.71,575,51,10,Tr
NGC3990,179.3983333333333,55.458611111111104,10.3,9.55,13.43,1.69,0.57,696,65,-1," "
NGC3738,173.9525,54.52277777777777,4.9,9.61,11.87,3.39,0.73,225,49,9,BCD
KKH73,177.52666666666664,55.783333333333324,9.0,14.91,17.3,0.69,0.94,594,22,10,Tr
LV J1157+5638,179.4758333333333,56.638055555555546,7.03,14.68,17.1,0.48,0.81,416,40,10,Ir
DDO092,168.35875,53.59499999999999,9.9,13.2,15.6,1.38,0.78,928,44,9,Im
NGC3556,167.87916666666663,55.67388888888888,9.9,7.04,10.69,5.01,0.25,696,80,6," "
UMa I,158.71999999999997,51.919999999999995,0.1,11.12,15.29,18.0,0.2,-55,90,-3,Sph
UGC06757,176.74624999999997,61.334999999999994,2.73,13.82,16.3,1.1,0.55,82,67,10,Ir
DDO043,112.07166666666664,40.77027777777777,5.73,13.07,15.12,1.41,0.69,353,53,10,Ir
DDO052,127.11874999999998,41.85666666666666,10.28,12.37,15.27,1.74,0.5,396,72,10,Ir
DDO046,115.35749999999999,40.1125,6.85,12.2,14.4,1.78,0.94,364,22,10,Ir
IC2233,123.49541666666664,45.74222222222222,12.2,10.76,13.07,4.9,0.11,557,90,7," "
NGC2537,123.31124999999999,45.99055555555555,12.2,9.13,12.27,2.57,0.88,449,29,8," "
NGC2541,123.66708333333331,49.06166666666666,12.4,10.09,12.26,7.08,0.53,559,59,7," "
LV J0812+4836,123.16458333333331,48.61249999999999,12.42,14.55,17.1,0.52,0.31,521,90,9,BCD
NGC2552,124.83541666666665,50.009722222222216,12.4,10.0,12.69,3.72,0.74,524,43,8," "
NGC2500,120.47166666666665,50.737222222222215,12.4,9.28,12.23,3.31,0.84,514,33,7," "
UGC03600,103.91666666666666,39.09499999999999,7.24,13.22,16.18,1.91,0.36,398,70,8," "
UGC03698,107.32833333333332,44.379999999999995,7.24,12.68,15.41,1.17,0.6,421,62,10,Ir
NGC2337,107.55666666666666,44.45694444444444,7.87,10.34,13.48,2.75,0.75,433,47,9,Im
UGC03475,97.61999999999999,39.50388888888888,20.0,12.52,15.2,2.09,0.57,487,57,6," "
KKH38,101.97874999999999,47.513888888888886,19.3,14.68,17.4,1.38,0.54,451,68,10,Ir
UGC03501,99.65999999999998,49.258333333333326,15.5,13.89,16.7,1.12,0.37,451,90,10,Ir
UGC03817,110.68541666666665,45.10833333333333,8.55,11.89,15.96,1.74,0.5,437,72,10,Ir
LV J0737+4724,114.36874999999998,47.40916666666666,15.7,15.28,18.06,0.42,0.4,404,90,10,Ir
CGCG 262-028,116.88374999999998,51.19138888888888,7.1,12.81,14.8,1.0,0.52,454,70,9,BCD
KKH40,116.73499999999999,51.2961111111111,6.98,14.0,16.6,0.66,0.72,445,50,10,Ir
UGC04932,139.89208333333332,51.10916666666666,20.6,13.15,15.17,1.86,0.32,549,73,8," "
MCG +09-16-010,140.82083333333333,51.97305555555555,7.35,13.54,16.2,0.92,0.78,484,39,8," "
